url,status,final_url,is_redirect,redirect_chain,canonical,robots_meta,x_robots_tag,in_sitemap,schema_types,content_type,missing_alt_count,collected_at
https://www.orangejelly.co.uk/,200,https://www.orangejelly.co.uk/,no,none,https://www.orangejelly.co.uk,"index, follow",,yes,"Answer, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/fill-empty-pub-tables,200,https://www.orangejelly.co.uk/licensees-guide/fill-empty-pub-tables,no,none,https://www.orangejelly.co.uk/licensees-guide/fill-empty-pub-tables,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/double-drinks-profit-without-selling-more,200,https://www.orangejelly.co.uk/licensees-guide/double-drinks-profit-without-selling-more,no,none,https://www.orangejelly.co.uk/licensees-guide/double-drinks-profit-without-selling-more,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide,200,https://www.orangejelly.co.uk/licensees-guide,no,none,https://www.orangejelly.co.uk/licensees-guide,"index, follow",,yes,"BlogPosting, BreadcrumbList, CollectionPage, ContactPoint, GeoCoordinates, ImageObject, ItemList, ListItem, Organization, Person, PostalAddress, ProfessionalService, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/empty-pub-solutions,200,https://www.orangejelly.co.uk/empty-pub-solutions,no,none,https://www.orangejelly.co.uk/empty-pub-solutions,"index, follow",,yes,"Answer, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Person, PostalAddress, ProfessionalService, Question, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-wages-labour-costs-guide,200,https://www.orangejelly.co.uk/licensees-guide/pub-wages-labour-costs-guide,no,none,https://www.orangejelly.co.uk/licensees-guide/pub-wages-labour-costs-guide,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/pub-marketing-oxfordshire,200,https://www.orangejelly.co.uk/pub-marketing-oxfordshire,no,none,https://www.orangejelly.co.uk/pub-marketing-oxfordshire,"index, follow",,yes,"AdministrativeArea, Answer, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Person, PostalAddress, ProfessionalService, Question, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/recession-proof-pub-strategies,200,https://www.orangejelly.co.uk/licensees-guide/recession-proof-pub-strategies,no,none,https://www.orangejelly.co.uk/licensees-guide/recession-proof-pub-strategies,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/rescue-your-margins-drinks-mix,200,https://www.orangejelly.co.uk/licensees-guide/rescue-your-margins-drinks-mix,no,none,https://www.orangejelly.co.uk/licensees-guide/rescue-your-margins-drinks-mix,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/pub-event-template-profit-nights,200,https://www.orangejelly.co.uk/licensees-guide/pub-event-template-profit-nights,no,none,https://www.orangejelly.co.uk/licensees-guide/pub-event-template-profit-nights,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/staff-motivation-hacks-no-pay-rise,200,https://www.orangejelly.co.uk/licensees-guide/staff-motivation-hacks-no-pay-rise,no,none,https://www.orangejelly.co.uk/licensees-guide/staff-motivation-hacks-no-pay-rise,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/how-to-run-successful-pub-events,200,https://www.orangejelly.co.uk/licensees-guide/how-to-run-successful-pub-events,no,none,https://www.orangejelly.co.uk/licensees-guide/how-to-run-successful-pub-events,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
https://www.orangejelly.co.uk/licensees-guide/sober-october-low-no-alcohol-pubs,200,https://www.orangejelly.co.uk/licensees-guide/sober-october-low-no-alcohol-pubs,no,none,https://www.orangejelly.co.uk/licensees-guide/sober-october-low-no-alcohol-pubs,"index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1",,yes,"Answer, BlogPosting, BreadcrumbList, ContactPoint, FAQPage, GeoCoordinates, ImageObject, ListItem, Organization, Person, PostalAddress, ProfessionalService, Question, SpeakableSpecification, Thing, WebPage, WebSite",text/html; charset=utf-8,0,2026-06-16T06:56:25.903002+00:00
